workload,batch,sm,block_count,elapsed_sum
memory,32,31,124,264580
memory,32,32,130,291226
memory,32,33,124,269152
memory,32,34,128,284509
memory,32,35,125,273427
memory,32,36,128,286277
memory,32,37,128,266445
memory,32,38,131,287776
memory,32,39,130,274467
memory,32,40,133,283184
memory,32,41,127,267666
memory,32,42,131,285355
memory,32,43,125,273329
memory,32,44,130,289253
memory,32,45,128,274545
memory,32,46,127,295786
memory,32,47,125,270032
memory,32,48,134,281418
memory,32,49,130,267749
memory,32,50,133,286331
memory,32,51,127,255276
memory,32,52,131,282192
memory,32,53,124,251225
memory,32,54,128,285563
memory,32,55,121,268130
memory,32,56,124,287837
memory,32,57,116,258899
memory,32,58,128,292209
memory,32,59,121,258728
memory,32,60,136,290414
memory,32,61,124,255731
memory,32,62,140,287906
memory,32,63,136,277508
memory,32,64,136,292889
memory,32,65,132,275073
memory,32,66,132,292158
memory,32,67,122,260581
memory,32,68,133,280169
memory,32,69,135,262054
memory,32,70,136,292422
memory,32,71,133,265377
memory,32,72,133,281464
memory,32,73,135,269808
memory,32,74,130,282385
memory,32,75,132,264561
memory,32,76,120,292364
memory,32,77,124,269139
memory,32,78,127,282355
memory,32,79,122,258971
memory,32,80,130,281710
memory,32,81,131,271391
memory,32,82,126,282609
memory,32,83,132,259246
memory,32,84,130,292300
memory,32,85,127,260109
memory,32,86,129,289857
memory,32,87,126,277408
memory,32,88,129,287496
memory,32,89,124,271089
memory,32,90,124,280277
memory,32,91,122,269360
memory,32,92,133,268265
memory,32,93,123,271221
memory,32,94,130,267464
memory,32,95,125,269121
memory,32,96,123,274381
memory,32,97,122,270930
memory,32,98,120,282064
memory,32,99,116,270370
memory,32,100,121,274678
memory,32,101,124,269705
memory,32,102,127,289867
memory,32,103,116,268542
memory,32,104,130,287486
memory,32,105,125,279067
memory,32,106,129,274805
memory,32,107,127,268623
memory,32,108,126,288679
memory,32,109,125,283274
memory,32,110,128,303350
memory,32,111,126,275018
memory,32,112,127,273654
memory,32,113,121,261660
memory,32,114,134,287880
memory,32,115,127,272272
memory,32,116,127,286821
memory,32,117,127,267519
memory,32,118,127,291135
memory,32,119,126,277669
memory,32,120,121,291498
memory,32,121,121,270833
memory,32,122,127,290724
memory,32,123,117,273177
memory,32,124,123,289288
memory,32,125,115,262607
memory,32,126,126,297071
memory,32,127,124,273156
memory,64,0,264,598628
memory,64,1,248,567347
memory,64,2,271,587369
memory,64,3,252,568806
memory,64,4,275,590545
memory,64,5,256,570644
memory,64,6,276,604889
memory,64,7,258,565771
memory,64,8,268,609644
memory,64,9,254,572290
memory,64,10,268,598894
memory,64,11,246,558525
memory,64,12,262,601662
memory,64,13,248,574298
memory,64,14,266,588085
memory,64,15,250,574099
memory,64,16,267,575040
memory,64,17,252,569340
memory,64,18,275,606595
memory,64,19,258,572177
memory,64,20,269,591402
memory,64,21,250,568235
memory,64,22,268,593982
memory,64,23,255,558767
memory,64,24,272,603851
memory,64,25,256,556226
memory,64,26,271,598633
memory,64,27,261,578028
memory,64,28,273,600705
memory,64,29,260,554634
memory,64,30,267,600590
memory,64,31,253,549800
memory,64,32,264,594626
memory,64,33,250,558125
memory,64,34,261,597940
memory,64,35,248,567136
memory,64,36,258,583118
memory,64,37,252,566206
memory,64,38,272,596476
memory,64,39,256,550011
memory,64,40,270,594391
memory,64,41,260,573514
memory,64,42,269,585643
memory,64,43,249,553579
memory,64,44,259,599921
memory,64,45,251,556358
memory,64,46,262,590883
memory,64,47,254,564541
memory,64,48,269,587993
memory,64,49,261,542613
memory,64,50,269,584574
memory,64,51,255,544203
memory,64,52,267,593345
memory,64,53,251,547622
memory,64,54,263,595381
memory,64,55,252,546092
memory,64,56,255,596241
memory,64,57,244,550315
memory,64,58,260,591512
memory,64,59,247,562147
memory,64,60,267,603917
memory,64,61,251,547899
memory,64,62,269,595957
memory,64,63,259,567263
memory,64,64,267,600900
memory,64,65,256,549581
memory,64,66,260,590229
memory,64,67,244,533806
memory,64,68,263,589438
memory,64,69,253,548033
memory,64,70,270,591318
memory,64,71,256,541339
memory,64,72,261,567961
memory,64,73,261,547586
memory,64,74,257,566374
memory,64,75,255,549936
memory,64,76,253,592092
memory,64,77,241,545462
memory,64,78,252,572730
memory,64,79,247,554573
